Date,Price_Baoshan Iron & Steel Stock Price History,Price_Beijing Tongrentang Stock Price History,Price_China Shenhua Energy SH Stock Price History,Price_Huaneng Power International Stock Price History,Price_SAIC Motor Corp Stock Price History
2016-05-09,5.16,27.36,13.59,7.23,19.73
2016-05-10,5.21,27.33,13.57,7.2,19.93
2016-05-11,5.21,28.31,13.72,7.28,20.06
2016-05-12,5.25,27.81,13.81,7.36,20.05
2016-05-13,5.23,27.55,13.81,7.25,19.81
2016-05-16,5.2,27.86,13.82,7.25,19.88
2016-05-17,5.25,27.74,13.71,7.22,19.9
2016-05-18,5.16,27.27,13.59,7.26,19.81
2016-05-19,5.18,27.25,13.51,7.23,19.82
2016-05-20,5.21,27.05,13.58,7.25,19.81
2016-05-23,5.22,27.13,13.61,7.29,19.77
2016-05-24,5.15,26.92,13.63,7.31,19.78
2016-05-25,5.18,27.04,13.63,7.31,19.77
2016-05-26,5.17,26.98,13.66,7.3,19.73
2016-05-27,5.21,26.88,13.61,7.26,19.75
2016-05-30,5.18,26.74,13.63,7.33,19.92
2016-05-31,5.29,27.49,13.96,7.5,20.29
2016-06-01,5.25,27.27,13.87,7.45,20.2
2016-06-02,5.25,27.33,13.85,7.45,20.22
2016-06-03,5.25,28.01,13.89,7.46,20.56
2016-06-06,5.26,27.74,13.8,7.47,20.4
2016-06-07,5.23,27.75,13.85,7.54,20.32
2016-06-08,5.14,27.66,13.85,7.53,20.32
2016-06-13,5.03,26.82,13.41,7.26,20.04
2016-06-14,5.04,26.66,13.42,7.26,20.18
2016-06-15,5.07,27.12,13.52,7.32,20.35
2016-06-16,4.99,26.83,13.4,7.23,20.13
2016-06-17,5.01,26.9,13.58,7.27,20.2
2016-06-20,5.01,27.46,13.52,7.3,20.28
2016-06-21,4.97,27.1,13.47,7.32,20.3
2016-06-22,5.0,27.59,13.76,7.37,20.38
2016-06-23,4.99,27.48,13.93,7.33,20.22
2016-06-24,4.9,27.05,13.62,7.31,20.06
2016-10-10,5.39,31.23,15.42,7.1,22.48
2016-10-11,5.8,31.26,15.53,7.12,22.39
2016-10-12,5.59,31.18,15.54,7.1,22.14
2016-10-13,5.55,31.06,15.53,7.09,22.35
2016-10-14,5.52,30.85,15.53,7.14,22.38
2016-10-17,5.48,30.77,15.49,7.12,22.2
2016-10-18,5.54,31.0,15.81,7.15,22.54
2016-10-19,5.53,31.21,15.95,7.14,22.96
2016-10-20,5.5,31.13,15.94,7.11,23.29
2016-10-21,5.5,30.96,16.11,7.14,23.57
2016-10-24,5.58,31.44,17.3,7.2,23.4
2016-10-25,5.69,32.16,17.36,7.21,23.09
2016-10-26,5.68,31.94,17.0,7.17,23.06
2016-10-27,5.65,31.85,16.76,7.16,23.2
2016-10-28,5.6,31.64,16.88,7.18,23.4
2016-10-31,5.61,31.36,16.9,7.16,23.68
2016-11-01,5.63,31.7,17.11,7.17,23.53
2016-11-02,5.56,31.42,16.86,7.11,23.25
2016-11-03,5.56,31.55,17.04,7.11,23.31
2016-11-04,5.58,31.52,17.35,7.11,23.19
